,brand,price,processor,CPU,Ram,ROM,GPU,display_size,OS,warranty
489,1,146990,40.0,8,32,2000,22.0,16.0,0,1
490,5,52990,5.0,28,8,512,14.0,15.6,11,1
491,1,59990,32.0,6,8,512,4.0,14.0,0,1
492,4,52990,20.0,28,8,512,9.0,15.6,11,1
493,6,64490,31.0,1,16,512,4.0,15.6,0,1
494,6,78990,32.0,6,8,512,84.0,15.6,0,1
495,6,59900,,4,8,512,3.0,15.6,0,1
496,0,55990,84.0,19,16,512,17.0,14.0,0,1
497,2,19990,,16,4,256,8.0,15.6,3,1
498,17,47990,19.0,28,16,512,3.0,14.0,0,1
499,6,112990,,24,16,512,3.0,13.3,0,1
500,6,101990,,24,16,512,3.0,13.3,0,1
501,6,102990,32.0,6,16,512,3.0,13.3,0,1
502,5,33499,157.0,27,4,128,2.0,13.3,0,1
503,0,33999,76.0,28,8,512,17.0,15.6,7,1
504,3,215994,141.0,0,16,512,75.0,16.2,1,1
505,3,215994,141.0,3,16,1000,75.0,14.2,1,1
506,5,26500,,17,4,1000,2.0,15.6,4,1
507,14,79990,,28,16,512,3.0,15.6,5,1
508,4,68000,18.0,28,16,512,3.0,15.6,4,1
509,2,47925,20.0,28,8,512,4.0,15.6,4,1
510,14,59990,,24,16,512,12.0,15.6,5,1
511,4,67800,,28,8,512,52.0,14.0,8,1
512,24,60490,72.0,28,8,128,79.0,15.0,4,1
513,3,72999,1.0,28,8,256,85.0,13.3,13,0
514,3,109999,9.0,28,8,512,85.0,13.3,13,0
515,4,87990,130.0,28,8,256,86.0,13.3,4,1
516,0,121900,133.0,19,16,512,87.0,15.6,4,0
517,5,136490,131.0,19,16,1000,88.0,15.6,4,1
518,22,143700,34.0,6,8,512,6.0,15.6,0,2
519,0,50490,91.0,24,16,512,50.0,15.6,0,1
520,4,71990,46.0,1,16,1000,2.0,15.6,0,1
521,4,136899,57.0,7,16,1000,6.0,15.6,0,1
522,2,62990,81.0,19,16,512,12.0,14.0,0,1
523,5,43990,108.0,28,8,512,17.0,14.0,0,1
524,1,33990,108.0,28,8,512,17.0,15.6,0,1
525,5,58990,109.0,19,16,1000,3.0,15.6,0,1
526,9,154990,59.0,8,16,1000,19.0,15.6,0,2
527,9,69990,25.0,28,16,1000,7.0,15.6,4,2
528,2,50000,14.0,17,8,512,3.0,14.0,3,3
529,2,36990,,28,8,512,12.0,15.6,0,1
530,5,76500,111.0,24,16,512,89.0,15.6,0,1
531,2,33990,28.0,18,8,256,,15.6,0,1
532,2,32990,105.0,28,8,512,55.0,15.6,0,1
533,5,103221,51.0,6,16,512,90.0,16.0,0,1
534,5,89990,,22,16,512,90.0,16.0,0,1
535,2,56990,19.0,28,8,512,,15.6,0,1
536,5,44980,108.0,28,16,512,17.0,14.0,0,1
537,5,23990,147.0,16,8,256,8.0,14.0,7,1
538,5,76990,96.0,24,16,512,10.0,15.6,0,1
539,1,26920,153.0,16,8,64,8.0,14.0,6,1
540,7,14490,149.0,16,4,256,9.0,14.1,0,1
541,4,38990,14.0,17,8,512,2.0,15.6,0,1
542,2,52990,85.0,28,8,512,13.0,15.6,0,1
543,0,362999,62.0,14,32,1000,,17.3,11,1
544,1,64990,49.0,22,16,512,13.0,15.6,0,1
545,1,62990,49.0,22,16,512,13.0,15.6,0,1
546,1,18990,153.0,16,8,256,8.0,11.6,0,1
547,0,169999,60.0,10,16,512,6.0,16.1,0,1
548,0,189999,60.0,10,16,1000,28.0,16.1,0,1
549,0,298999,62.0,14,32,2000,19.0,16.1,0,1
550,0,99999,126.0,24,16,1000,91.0,14.0,0,1
551,0,267999,60.0,10,16,1000,66.0,17.3,0,1
552,2,108990,59.0,8,16,1000,25.0,16.0,11,3
553,2,51990,19.0,28,8,512,14.0,15.6,0,1
554,5,62608,21.0,19,16,512,13.0,17.3,0,1
555,1,57999,32.0,6,8,512,13.0,15.6,0,1
556,4,62990,46.0,1,8,512,3.0,14.0,0,1
557,2,71990,49.0,22,16,512,43.0,14.0,0,2
558,2,297990,62.0,14,32,1000,92.0,16.0,0,1
559,2,138490,56.0,2,16,1000,28.0,16.0,0,1
560,2,103395,95.0,24,16,512,70.0,16.0,0,1
561,2,88990,,24,16,512,10.0,16.0,11,3
562,9,419990,63.0,13,64,2000,93.0,16.0,0,2
563,2,87990,53.0,1,16,512,4.0,14.0,0,1
564,2,48990,31.0,1,8,512,3.0,15.6,0,1
565,9,79990,114.0,24,16,512,94.0,15.6,0,1
567,0,26990,153.0,16,8,512,2.0,14.0,0,1
568,1,13990,151.0,16,4,64,8.0,11.6,6,1
569,1,49990,23.0,28,16,1000,4.0,14.0,0,1
570,9,59990,110.0,19,8,512,94.0,15.6,0,1
571,5,91990,100.0,24,16,1000,56.0,15.6,0,1
572,5,95689,61.0,8,16,1000,43.0,16.0,0,1
573,1,26732,151.0,16,8,128,8.0,14.0,6,1
574,0,89999,20.0,28,16,512,2.0,14.0,0,1
575,5,69990,95.0,24,16,1000,12.0,14.0,0,1
576,5,65391,83.0,19,16,1000,12.0,14.0,0,1
577,2,90000,74.0,24,16,512,12.0,14.0,4,1
578,2,38390,28.0,18,8,512,2.0,15.6,0,1
579,2,40990,108.0,28,8,512,55.0,15.6,0,1
580,2,50990,80.0,28,8,512,95.0,15.6,0,1
581,4,47990,20.0,28,8,512,2.0,15.6,0,1
582,4,59990,31.0,1,16,512,96.0,15.6,0,1
583,4,61990,46.0,1,8,512,,15.6,0,1
584,2,31990,105.0,28,8,512,50.0,14.0,0,1
585,9,129990,59.0,8,32,1000,6.0,16.0,0,2
586,2,49989,31.0,1,8,512,8.0,15.6,0,1
587,4,42990,86.0,19,8,512,12.0,15.6,0,1
588,9,259990,59.0,8,32,1000,97.0,16.0,0,2
589,2,44690,43.0,15,8,512,2.0,15.6,0,1
590,2,61990,109.0,19,16,512,17.0,14.0,0,1
591,0,123300,36.0,1,16,1000,3.0,16.0,0,1
592,4,74499,46.0,1,16,1000,2.0,15.6,0,1
593,2,47990,19.0,28,8,512,58.0,15.6,0,1
594,2,85990,113.0,24,16,1000,12.0,13.3,0,1
595,2,61990,94.0,24,16,512,50.0,14.0,0,1
596,7,21990,2.0,17,8,256,98.0,14.1,0,1
597,0,49990,,19,8,512,1.0,15.6,0,1
598,2,112990,117.0,24,16,512,6.0,16.0,0,1
599,2,127990,117.0,24,16,512,28.0,16.0,0,1
600,0,91590,,1,16,512,4.0,14.0,0,1
601,0,103060,51.0,6,16,512,6.0,15.6,0,1
602,0,39600,105.0,28,8,512,17.0,15.6,0,1
603,2,137590,117.0,24,16,512,28.0,16.0,0,1
604,2,53980,113.0,24,16,512,17.0,16.0,0,1
605,1,54990,107.0,19,16,512,12.0,14.0,0,1
606,5,28099,152.0,16,8,512,99.0,15.6,7,1
607,0,415000,35.0,1,16,1000,3.0,17.0,0,1
608,25,64990,45.0,1,16,512,3.0,13.3,0,2
609,25,84990,53.0,1,16,1000,3.0,13.3,0,2
610,21,52999,23.0,28,16,1000,2.0,15.6,0,1
611,21,34999,14.0,17,8,512,2.0,15.6,0,1
612,5,65990,111.0,24,16,1000,89.0,15.6,0,1
613,0,56990,110.0,19,8,512,13.0,15.6,0,1
614,2,88999,20.0,28,16,1000,3.0,15.6,4,1
615,2,35990,14.0,17,8,512,2.0,15.6,0,1
616,2,111490,54.0,6,16,512,43.0,14.0,0,1
617,0,50990,31.0,1,8,512,3.0,15.6,0,1
618,2,89500,31.0,1,16,512,3.0,15.6,0,1
619,2,66388,109.0,19,16,512,12.0,14.0,0,1
620,5,66990,88.0,19,16,1000,10.0,15.6,0,1
621,5,74990,96.0,24,16,1000,10.0,15.6,0,1
622,0,26990,70.0,17,8,512,12.0,15.6,10,1
623,4,65990,46.0,1,8,1000,8.0,15.6,0,1
624,5,87990,38.0,2,16,1000,10.0,16.0,0,1
625,4,36480,14.0,17,8,512,2.0,15.6,0,1
626,4,63989,46.0,1,8,1000,100.0,15.6,0,1
627,5,90990,,12,16,1000,10.0,15.6,11,1
628,5,104990,38.0,2,16,512,101.0,16.0,0,1
629,0,64800,31.0,1,8,512,35.0,14.0,3,1
630,5,27990,153.0,16,4,64,8.0,14.0,6,1
631,5,14990,153.0,16,4,128,8.0,14.0,6,1
632,5,22990,153.0,16,4,64,8.0,15.6,6,1
633,5,23990,153.0,16,4,128,8.0,15.6,6,1
634,0,42900,28.0,18,8,512,35.0,15.6,0,1
635,22,130000,56.0,2,16,512,28.0,16.0,0,0
636,22,94990,34.0,6,8,512,28.0,15.6,0,2
637,2,57990,91.0,24,16,512,17.0,15.6,0,1
638,5,104222,38.0,2,16,512,90.0,16.0,0,1
639,25,69990,46.0,1,16,512,3.0,14.0,0,2
640,2,63990,113.0,24,16,512,102.0,14.0,0,1
641,2,48990,108.0,28,8,512,48.0,15.6,0,1
642,2,46990,31.0,1,8,512,8.0,15.6,3,1
643,0,55990,124.0,19,8,512,13.0,15.6,0,1
644,5,66990,33.0,22,16,512,10.0,16.0,0,1
645,5,89990,33.0,22,16,512,90.0,16.0,0,1
646,9,62990,21.0,19,16,512,10.0,15.6,0,2
647,9,85990,38.0,2,16,512,25.0,15.6,0,2
648,2,47100,28.0,18,8,512,2.0,15.6,0,1
649,2,91990,115.0,24,16,512,12.0,14.0,0,1
650,5,67990,87.0,19,16,512,103.0,15.6,0,1
651,1,39990,86.0,19,16,512,17.0,14.0,0,1
652,1,36990,86.0,19,8,512,17.0,14.0,0,1
653,5,33990,105.0,28,8,512,17.0,14.0,0,1
654,2,43800,,28,8,512,,14.0,3,1
655,0,179490,121.0,24,32,1000,19.0,16.1,0,1
656,22,164990,59.0,8,16,1000,6.0,14.0,0,2
657,4,84990,53.0,1,16,1000,3.0,14.0,0,1
658,25,104990,55.0,6,16,1000,3.0,14.0,0,2
659,5,57990,17.0,19,16,512,13.0,15.6,0,1
660,0,58990,124.0,19,8,512,13.0,15.6,0,1
661,4,304990,41.0,8,32,1000,22.0,15.6,0,1
663,7,28990,8.0,28,8,512,98.0,14.1,0,1
664,1,39900,154.0,25,8,512,2.0,14.0,0,1
665,2,36490,14.0,17,8,512,8.0,15.6,0,1
666,2,87490,56.0,2,16,512,8.0,14.0,0,1
667,4,44990,43.0,15,8,1000,8.0,15.6,0,1
668,2,107990,54.0,6,16,512,3.0,14.0,0,1
669,4,46900,122.0,28,8,1000,12.0,15.6,0,1
670,4,98890,54.0,6,16,1000,3.0,13.3,0,1
671,4,76990,46.0,1,8,1000,3.0,14.0,0,1
672,4,86990,47.0,6,16,1000,3.0,13.3,0,1
673,4,86990,46.0,1,16,1000,3.0,14.0,0,1
674,4,58490,46.0,1,8,512,3.0,14.0,0,1
675,0,69199,87.0,19,16,512,10.0,15.6,0,1
676,9,45990,17.0,19,8,512,14.0,15.6,0,2
677,9,94990,38.0,2,16,512,28.0,15.6,0,2
678,9,97990,38.0,2,8,1000,28.0,17.3,0,2
679,9,179990,61.0,8,16,1000,19.0,17.3,0,2
680,9,125990,59.0,8,8,1000,28.0,17.3,0,2
681,0,116463,51.0,6,16,512,6.0,15.6,0,1
683,0,153625,52.0,8,16,512,6.0,16.1,0,1
684,0,270129,62.0,14,32,1000,19.0,16.1,0,1
685,22,149990,34.0,6,16,1000,19.0,15.6,11,2
686,2,58990,109.0,19,16,512,102.0,14.0,0,1
687,0,107190,35.0,1,16,512,4.0,13.3,0,1
688,16,32999,4.0,28,16,512,2.0,15.6,0,1
689,0,102090,49.0,22,16,512,6.0,16.1,0,1
690,0,231746,58.0,1,16,512,3.0,13.5,0,1
691,5,81990,38.0,2,16,512,10.0,16.0,0,1
692,4,36890,14.0,17,8,512,2.0,15.6,0,1
693,2,87990,33.0,22,16,512,6.0,15.6,0,1
694,0,77990,46.0,1,16,512,4.0,14.0,0,1
695,22,117574,34.0,6,8,512,28.0,15.6,0,2
696,2,97990,117.0,24,16,512,6.0,15.6,0,1
697,9,284990,64.0,14,32,1000,66.0,16.0,0,2
698,9,344990,64.0,14,32,2000,26.0,17.0,0,2
699,0,146599,60.0,10,16,1000,28.0,16.1,0,1
700,1,44990,20.0,28,8,512,104.0,15.6,0,1
701,2,57990,109.0,19,16,512,12.0,14.0,0,1
702,0,128599,117.0,24,16,512,28.0,16.0,0,1
703,5,21990,160.0,16,4,256,59.0,15.6,0,1
704,0,151990,60.0,10,16,512,28.0,16.1,0,1
705,10,52990,26.0,28,16,1000,4.0,15.6,0,1
706,2,119888,22.0,28,16,1000,35.0,14.0,4,1
707,0,22990,67.0,16,4,256,18.0,15.6,0,1
708,2,76888,109.0,19,16,512,12.0,13.3,0,1
709,4,256990,59.0,8,16,1000,105.0,15.6,0,1
710,4,83090,47.0,6,16,512,3.0,13.3,0,1
711,4,67999,19.0,28,16,512,104.0,15.6,0,1
712,1,96256,40.0,8,16,512,10.0,15.6,0,1
713,9,77990,32.0,6,16,512,4.0,14.0,0,1
714,4,323290,62.0,14,32,1000,66.0,16.0,0,1
715,4,67990,98.0,24,16,512,44.0,14.0,0,1
716,9,82990,32.0,6,8,512,4.0,13.3,0,2
717,4,199990,125.0,24,16,1000,106.0,16.0,0,1
718,22,189999,40.0,8,16,1000,71.0,16.0,11,2
719,2,73990,109.0,19,16,512,50.0,13.3,0,3
720,5,67990,83.0,19,16,512,10.0,15.6,0,1
721,5,142990,40.0,8,16,1000,6.0,16.0,0,1
722,2,64990,94.0,24,16,512,50.0,14.0,0,1
723,5,84800,38.0,2,16,512,13.0,16.0,0,1
724,2,64990,109.0,19,16,512,17.0,14.0,0,1
725,1,129990,117.0,24,16,512,28.0,16.0,0,1
726,1,114990,117.0,24,8,512,28.0,16.0,0,1
727,1,80000,53.0,1,8,512,60.0,15.6,0,1
728,1,54990,46.0,1,16,512,60.0,15.6,0,1
729,26,98999,47.0,6,16,512,3.0,14.0,0,1
730,4,69990,6.0,28,8,512,2.0,14.0,5,1
731,5,76990,95.0,24,16,512,10.0,15.6,0,1
732,25,74990,46.0,1,16,512,3.0,14.0,0,2
733,25,89990,54.0,6,16,512,3.0,14.0,0,2
734,0,29999,,27,8,512,9.0,15.6,11,1
735,0,97705,31.0,1,16,512,,16.0,0,1
736,0,240707,41.0,8,32,1000,70.0,16.0,0,1
737,0,234990,,8,16,1000,,16.0,0,1
738,0,209990,,8,16,1000,70.0,16.0,0,1
739,0,390914,41.0,8,32,1000,108.0,16.0,0,1
740,0,172588,,8,16,1000,70.0,16.0,0,1
741,0,254657,,8,16,1000,,16.0,0,1
742,26,152499,54.0,6,16,1000,,16.0,0,1
743,2,23990,,16,4,256,42.0,11.6,0,1
744,5,119990,101.0,24,16,512,,14.0,0,1
745,26,78299,109.0,19,16,512,109.0,16.0,0,1
746,26,115990,54.0,6,16,512,3.0,14.0,0,1
747,5,61990,46.0,1,16,512,43.0,15.6,0,1
748,0,26999,70.0,17,8,512,12.0,15.6,3,1
749,0,103099,49.0,22,16,512,6.0,16.1,0,1
750,10,64990,59.0,8,32,1000,4.0,15.6,0,1
751,2,47990,31.0,1,8,512,2.0,14.0,0,2
752,2,24990,75.0,16,8,256,8.0,14.0,4,1
753,2,130800,,28,16,512,104.0,14.0,0,1
754,9,57990,24.0,24,16,512,14.0,15.6,0,2
