,brand,price,CPU,Ram,ROM,display_size,OS,warranty,GPU_encoded,Processor_encoded
510,14,59990,24,16,512,15.6,5,1,11,130
511,4,67800,28,8,512,14.0,8,1,55,81
512,24,60490,28,8,128,15.0,4,1,87,118
513,3,72999,28,8,256,13.3,13,0,93,131
514,3,109999,28,8,512,13.3,13,0,93,132
515,4,87990,28,8,256,13.3,4,1,94,133
516,0,121900,19,16,512,15.6,4,0,95,134
517,5,136490,19,16,1000,15.6,4,1,96,135
518,22,143700,6,8,512,15.6,0,2,5,6
519,0,50490,24,16,512,15.6,0,1,51,136
520,4,71990,1,16,1000,15.6,0,1,1,63
521,4,136899,7,16,1000,15.6,0,1,5,97
522,2,62990,19,16,512,14.0,0,1,11,50
523,5,43990,28,8,512,14.0,0,1,16,96
524,1,33990,28,8,512,15.6,0,1,16,96
525,5,58990,19,16,1000,15.6,0,1,2,76
526,9,154990,8,16,1000,15.6,0,2,18,87
527,9,69990,28,16,1000,15.6,4,2,6,107
528,2,50000,17,8,512,14.0,3,3,2,2
529,2,36990,28,8,512,15.6,0,1,11,137
530,5,76500,24,16,512,15.6,0,1,97,138
531,2,33990,18,8,256,15.6,0,1,25,1
532,2,32990,28,8,512,15.6,0,1,58,10
533,5,103221,6,16,512,16.0,0,1,98,44
534,5,89990,22,16,512,16.0,0,1,98,109
535,2,56990,28,8,512,15.6,0,1,66,69
536,5,44980,28,16,512,14.0,0,1,16,96
537,5,23990,16,8,256,14.0,7,1,7,139
538,5,76990,24,16,512,15.6,0,1,9,90
539,1,26920,16,8,64,14.0,6,1,7,89
540,7,14490,16,4,256,14.1,0,1,8,8
541,4,38990,17,8,512,15.6,0,1,1,2
542,2,52990,28,8,512,15.6,0,1,12,140
543,0,362999,14,32,1000,17.3,11,1,99,23
544,1,64990,22,16,512,15.6,0,1,12,5
545,1,62990,22,16,512,15.6,0,1,12,5
546,1,18990,16,8,256,11.6,0,1,7,89
547,0,169999,10,16,512,16.1,0,1,5,74
548,0,189999,10,16,1000,16.1,0,1,28,74
549,0,298999,14,32,2000,16.1,0,1,18,23
550,0,99999,24,16,1000,14.0,0,1,100,141
551,0,267999,10,16,1000,17.3,0,1,72,74
552,2,108990,8,16,1000,16.0,11,3,24,87
553,2,51990,28,8,512,15.6,0,1,13,69
554,5,62608,19,16,512,17.3,0,1,12,98
555,1,57999,6,8,512,15.6,0,1,12,3
556,4,62990,1,8,512,14.0,0,1,2,63
557,2,71990,22,16,512,14.0,0,2,44,5
558,2,297990,14,32,1000,16.0,0,1,101,23
559,2,138490,2,16,1000,16.0,0,1,28,38
560,2,103395,24,16,512,16.0,0,1,77,72
561,2,88990,24,16,512,16.0,11,3,9,142
562,9,419990,13,64,2000,16.0,0,2,102,143
563,2,87990,1,16,512,14.0,0,1,3,21
564,2,48990,1,8,512,15.6,0,1,2,35
565,9,79990,24,16,512,15.6,0,1,103,73
567,0,26990,16,8,512,14.0,0,1,1,89
568,1,13990,16,4,64,11.6,6,1,7,144
